,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,LLCounter,LSCounter,NLCounter,NSCounter,Action,Category,StimCategory,StimSequence,ResponseMatrix,PressCorrect,keyPressed,Accuracy,RT,FeedbackType,subject
0,0,Resp,3,1,0,0,0,0,1,0,0,1,NS,RS,5,1,v,v,1,657,1,2
1,1,Resp,3,2,1,1,0,1,1,0,0,3,NL,RC,2,3,n,n,1,690,1,2
2,2,Resp,3,3,2,2,0,1,1,1,0,2,ML,BS,11,4,m,m,1,842,1,2
3,3,Resp,3,4,3,3,0,1,1,2,0,3,ML,RC,10,3,n,n,1,660,1,2
4,4,Resp,3,5,4,4,0,2,1,2,0,2,NL,BS,3,4,m,m,1,946,1,2
5,5,RespITI,3,6,5,5,0,2,1,2,1,1,MS,RS,13,1,v,0,0,946,3,2
6,6,Resp,3,7,6,6,0,2,2,2,1,2,NS,BS,7,4,m,m,1,923,1,2
7,7,RespITI,3,8,7,7,0,2,2,3,1,4,ML,BC,12,2,b,0,0,923,3,2
8,8,Resp,3,9,8,8,0,2,3,3,1,1,NS,RS,5,1,v,v,1,1002,1,2
9,9,RespITI,3,10,9,9,0,3,3,3,1,4,NL,BC,4,2,b,0,0,1002,3,2
10,10,RespITI,3,11,10,10,0,3,4,3,1,3,NS,RC,6,3,n,0,0,1002,3,2
11,11,Resp,3,12,11,11,0,3,5,3,1,2,NS,BS,7,4,m,m,1,1185,1,2
12,12,Resp,3,13,12,12,0,4,5,3,1,2,NL,BS,3,4,m,m,1,831,1,2
13,13,RespITI,3,14,13,13,0,4,6,3,1,3,NS,RC,6,3,n,0,0,831,3,2
14,14,Resp,3,15,14,14,0,4,7,3,1,4,NS,BC,8,2,b,b,1,1127,1,2
15,15,Resp,3,16,15,15,0,5,7,3,1,2,NL,BS,3,4,m,m,1,952,1,2
16,16,Resp,3,17,16,16,0,5,7,4,1,4,ML,BC,12,2,b,b,1,1207,1,2
17,17,RespITI,3,18,17,17,0,5,7,5,1,3,ML,RC,10,3,n,0,0,1207,3,2
18,18,RespITI,3,19,18,18,0,5,7,5,2,4,MS,BC,16,2,b,0,0,1207,3,2
19,19,RespITI,3,20,19,19,0,6,7,5,2,3,NL,RC,2,3,n,0,0,1207,3,2
20,20,Resp,3,21,20,20,0,6,7,5,3,2,MS,BS,15,4,m,m,1,1009,1,2
21,21,Resp,3,22,21,21,0,6,8,5,3,2,NS,BS,7,4,m,m,1,727,1,2
22,22,Resp,3,23,22,22,0,6,8,6,3,1,ML,RS,9,1,v,v,1,587,1,2
23,23,Resp,3,24,23,23,0,7,8,6,3,1,NL,RS,1,1,v,v,1,847,1,2
24,24,Resp,3,25,24,24,0,7,8,7,3,1,ML,RS,9,1,v,v,1,807,1,2
25,25,RespITI,3,26,25,25,0,7,8,7,4,2,MS,BS,15,4,m,0,0,807,3,2
26,26,Resp,3,27,26,26,0,7,8,7,5,3,MS,RC,14,3,n,n,1,1069,1,2
27,27,Resp,3,28,27,27,0,7,8,8,5,2,ML,BS,11,4,m,m,1,963,1,2
28,28,RespITI,3,29,28,28,0,7,9,8,5,4,NS,BC,8,2,b,0,0,963,3,2
29,29,RespITI,3,30,29,29,0,8,9,8,5,3,NL,RC,2,3,n,0,0,963,3,2
30,30,Resp,3,31,30,30,0,9,9,8,5,3,NL,RC,2,3,n,n,1,791,1,2
31,31,Resp,3,32,31,31,0,9,9,8,6,1,MS,RS,13,1,v,v,1,722,1,2
32,32,Resp,3,33,32,32,0,10,9,8,6,1,NL,RS,1,1,v,v,1,762,1,2
33,33,Resp,3,34,33,33,0,10,9,8,7,4,MS,BC,16,2,b,b,1,1198,1,2
34,34,Resp,3,35,34,34,0,11,9,8,7,2,NL,BS,3,4,m,m,1,1060,1,2
35,35,Resp,3,36,35,35,0,11,9,9,7,1,ML,RS,9,1,v,v,1,597,1,2
36,36,Resp,3,37,36,36,0,12,9,9,7,2,NL,BS,3,4,m,m,1,855,1,2
37,37,RespITI,3,38,37,37,0,12,9,9,8,4,MS,BC,16,2,b,0,0,855,3,2
38,38,Resp,3,39,38,38,0,12,9,9,9,1,MS,RS,13,1,v,v,1,793,1,2
39,39,Resp,3,40,39,39,0,12,9,10,9,2,ML,BS,11,4,m,m,1,545,1,2
40,40,Resp,3,41,40,40,0,12,10,10,9,2,NS,BS,7,4,m,m,1,1016,1,2
41,41,RespITI,3,42,41,41,0,12,10,11,9,3,ML,RC,10,3,n,0,0,1016,3,2
42,42,RespITI,3,43,42,42,0,13,10,11,9,1,NL,RS,1,1,v,0,0,1016,3,2
43,43,Resp,3,44,43,43,0,13,11,11,9,1,NS,RS,5,1,v,v,1,672,1,2
44,44,Resp,3,45,44,44,0,14,11,11,9,3,NL,RC,2,3,n,n,1,877,1,2
45,45,RespITI,3,46,45,45,0,15,11,11,9,3,NL,RC,2,3,n,0,0,877,3,2
46,46,Resp,3,47,46,46,0,16,11,11,9,4,NL,BC,4,2,b,b,1,1022,1,2
47,47,Resp,3,48,47,47,0,16,12,11,9,1,NS,RS,5,1,v,v,1,738,1,2
48,48,Resp,3,49,48,48,0,16,13,11,9,2,NS,BS,7,4,m,m,1,699,1,2
49,49,RespITI,3,50,49,49,0,16,13,12,9,4,ML,BC,12,2,b,0,0,699,3,2
50,50,Resp,3,51,50,50,0,16,13,13,9,4,ML,BC,12,2,b,b,1,994,1,2
51,51,Resp,3,52,51,51,0,17,13,13,9,2,NL,BS,3,4,m,m,1,853,1,2
52,52,Resp,3,53,52,52,0,18,13,13,9,1,NL,RS,1,1,v,v,1,677,1,2
53,53,Resp,3,54,53,53,0,18,13,13,10,1,MS,RS,13,1,v,v,1,824,1,2
54,54,Resp,3,55,54,54,0,18,13,13,11,3,MS,RC,14,3,n,n,1,937,1,2
55,55,Resp,3,56,55,55,0,19,13,13,11,4,NL,BC,4,2,b,b,1,1117,1,2
56,56,Resp,3,57,56,56,0,20,13,13,11,2,NL,BS,3,4,m,m,1,618,1,2
57,57,Resp,3,58,57,57,0,20,14,13,11,1,NS,RS,5,1,v,v,1,509,1,2
58,58,Resp,3,59,58,58,0,20,14,14,11,3,ML,RC,10,3,n,n,1,961,1,2
59,59,RespITI,3,60,59,59,0,20,14,15,11,4,ML,BC,12,2,b,0,0,961,3,2
60,60,Resp,3,61,60,60,0,20,14,16,11,2,ML,BS,11,4,m,m,1,627,1,2
61,61,Resp,3,62,61,61,0,20,14,16,12,2,MS,BS,15,4,m,m,1,807,1,2
62,62,Resp,3,63,62,62,0,20,14,16,13,3,MS,RC,14,3,n,n,1,813,1,2
63,63,Resp,3,64,63,63,0,20,14,17,13,2,ML,BS,11,4,m,m,1,779,1,2
64,64,Resp,3,65,64,64,0,21,14,17,13,4,NL,BC,4,2,b,b,1,1106,1,2
65,65,Resp,3,66,65,65,0,21,14,18,13,1,ML,RS,9,1,v,v,1,808,1,2
66,66,Resp,3,67,66,66,0,22,14,18,13,4,NL,BC,4,2,b,b,1,1131,1,2
67,67,Resp,3,68,67,67,0,22,15,18,13,4,NS,BC,8,2,b,b,1,895,1,2
68,68,Resp,3,69,68,68,0,22,15,18,14,3,MS,RC,14,3,n,n,1,854,1,2
69,69,Resp,3,70,69,69,0,22,15,19,14,2,ML,BS,11,4,m,m,1,857,1,2
70,70,RespITI,3,71,70,70,0,22,15,19,15,4,MS,BC,16,2,b,0,0,857,3,2
71,71,Resp,3,72,71,71,0,23,15,19,15,1,NL,RS,1,1,v,v,1,968,1,2
72,72,Resp,3,73,72,72,0,24,15,19,15,3,NL,RC,2,3,n,n,1,1111,1,2
73,73,Resp,3,74,73,73,0,24,15,19,16,3,MS,RC,14,3,n,n,1,720,1,2
74,74,Resp,3,75,74,74,0,24,16,19,16,4,NS,BC,8,2,b,b,1,758,1,2
75,75,Resp,3,76,75,75,0,24,16,19,17,2,MS,BS,15,4,m,m,1,725,1,2
76,76,Resp,3,77,76,76,0,24,16,19,18,1,MS,RS,13,1,v,v,1,1014,1,2
77,77,Resp,3,78,77,77,0,24,17,19,18,2,NS,BS,7,4,m,m,1,657,1,2
78,78,Resp,3,79,78,78,0,25,17,19,18,1,NL,RS,1,1,v,v,1,730,1,2
79,79,Resp,3,80,79,79,0,25,18,19,18,1,NS,RS,5,1,v,v,1,585,1,2
80,80,Resp,3,81,80,80,0,25,18,19,19,4,MS,BC,16,2,b,b,1,988,1,2
81,81,Resp,3,82,81,81,0,25,18,19,20,2,MS,BS,15,4,m,m,1,809,1,2
82,82,Resp,3,83,82,82,0,25,19,19,20,4,NS,BC,8,2,b,n,0,849,2,2
83,83,Resp,3,84,83,83,0,25,19,20,20,2,ML,BS,11,4,m,m,1,886,1,2
84,84,Resp,3,85,84,84,0,26,19,20,20,4,NL,BC,4,2,b,b,1,958,1,2
85,85,Resp,3,86,85,85,0,26,19,21,20,4,ML,BC,12,2,b,b,1,1091,1,2
86,86,Resp,3,87,86,86,0,26,19,22,20,4,ML,BC,12,2,b,b,1,735,1,2
87,87,Resp,3,88,87,87,0,26,20,22,20,1,NS,RS,5,1,v,v,1,703,1,2
88,88,Resp,3,89,88,88,0,26,20,22,21,3,MS,RC,14,3,n,n,1,705,1,2
89,89,Resp,3,90,89,89,0,26,21,22,21,3,NS,RC,6,3,n,n,1,667,1,2
90,90,Resp,3,91,90,90,0,26,21,23,21,4,ML,BC,12,2,b,b,1,853,1,2
91,91,Resp,3,92,91,91,0,26,21,23,22,3,MS,RC,14,3,n,n,1,888,1,2
92,92,Resp,3,93,92,92,0,26,21,24,22,1,ML,RS,9,1,v,v,1,496,1,2
93,93,Resp,3,94,93,93,0,26,21,24,23,4,MS,BC,16,2,b,b,1,931,1,2
94,94,Resp,3,95,94,94,0,26,21,24,24,2,MS,BS,15,4,m,m,1,720,1,2
95,95,Resp,3,96,95,95,0,26,22,24,24,4,NS,BC,8,2,b,b,1,900,1,2
96,96,Resp,3,97,96,96,0,26,22,25,24,1,ML,RS,9,1,v,v,1,414,1,2
97,97,Resp,3,98,97,97,0,26,22,25,25,1,MS,RS,13,1,v,v,1,702,1,2
98,98,Resp,3,99,98,98,0,26,22,25,26,2,MS,BS,15,4,m,m,1,776,1,2
99,99,Resp,3,100,99,99,0,27,22,25,26,2,NL,BS,3,4,m,m,1,457,1,2
100,100,Resp,3,101,100,100,0,27,23,25,26,3,NS,RC,6,3,n,n,1,721,1,2
101,101,Resp,3,102,101,101,0,27,24,25,26,1,NS,RS,5,1,v,v,1,589,1,2
102,102,Resp,3,103,102,102,0,27,25,25,26,3,NS,RC,6,3,n,n,1,727,1,2
103,103,Resp,3,104,103,103,0,28,25,25,26,4,NL,BC,4,2,b,b,1,869,1,2
104,104,Resp,3,105,104,104,0,28,25,26,26,1,ML,RS,9,1,v,v,1,727,1,2
105,105,Resp,3,106,105,105,0,28,25,27,26,3,ML,RC,10,3,n,n,1,659,1,2
106,106,Resp,3,107,106,106,0,28,26,27,26,3,NS,RC,6,3,n,n,1,651,1,2
107,107,Resp,3,108,107,107,0,28,26,27,27,2,MS,BS,15,4,m,m,1,799,1,2
108,108,Resp,3,109,108,108,0,29,26,27,27,4,NL,BC,4,2,b,b,1,873,1,2
109,109,Resp,3,110,109,109,0,29,27,27,27,2,NS,BS,7,4,m,m,1,622,1,2
110,110,Resp,3,111,110,110,0,29,27,27,28,3,MS,RC,14,3,n,n,1,809,1,2
111,111,Resp,3,112,111,111,0,29,27,27,29,1,MS,RS,13,1,v,v,1,414,1,2
112,112,Resp,3,113,112,112,0,29,28,27,29,2,NS,BS,7,4,m,m,1,740,1,2
113,113,Resp,3,114,113,113,0,29,28,28,29,2,ML,BS,11,4,m,m,1,962,1,2
114,114,Resp,3,115,114,114,0,29,29,28,29,4,NS,BC,8,2,b,b,1,1004,1,2
115,115,Resp,3,116,115,115,0,29,29,29,29,3,ML,RC,10,3,n,n,1,864,1,2
116,116,Resp,3,117,116,116,0,29,30,29,29,3,NS,RC,6,3,n,n,1,724,1,2
117,117,Resp,3,118,117,117,0,29,31,29,29,3,NS,RC,6,3,n,n,1,619,1,2
118,118,Resp,3,119,118,118,0,29,31,30,29,3,ML,RC,10,3,n,n,1,695,1,2
119,119,Resp,3,120,119,119,0,30,31,30,29,3,NL,RC,2,3,n,n,1,658,1,2
120,120,Resp,3,121,120,120,0,30,31,31,29,1,ML,RS,9,1,v,v,1,592,1,2
121,121,Resp,3,122,121,121,0,30,31,32,29,3,ML,RC,10,3,n,n,1,810,1,2
122,122,Resp,3,123,122,122,0,30,32,32,29,4,NS,BC,8,2,b,b,1,849,1,2
123,123,Resp,3,124,123,123,0,31,32,32,29,1,NL,RS,1,1,v,v,1,850,1,2
124,124,Resp,3,125,124,124,0,31,32,32,30,4,MS,BC,16,2,b,b,1,854,1,2
125,125,Resp,3,126,125,125,0,32,32,32,30,1,NL,RS,1,1,v,v,1,990,1,2
126,126,Resp,3,127,126,126,0,32,32,32,31,4,MS,BC,16,2,b,b,1,921,1,2
127,127,Resp,3,128,127,127,0,32,32,32,32,1,MS,RS,13,1,v,v,1,708,1,2
0,0,Resp,7,1,0,0,0,0,1,0,0,3,NS,RC,6,3,n,v,0,455,2,5
1,1,Resp,7,2,1,1,0,0,2,0,0,4,NS,BC,8,2,b,v,0,481,2,5
2,2,Resp,7,3,2,2,0,0,3,0,0,3,NS,RC,6,3,n,v,0,371,2,5
3,3,Resp,7,4,3,3,0,0,3,1,0,4,ML,BC,12,2,b,b,1,655,1,5
4,4,Resp,7,5,4,4,0,0,3,2,0,4,ML,BC,12,2,b,b,1,434,1,5
5,5,Resp,7,6,5,5,0,0,3,2,1,1,MS,RS,13,1,v,v,1,775,1,5
6,6,Resp,7,7,6,6,0,0,4,2,1,2,NS,BS,7,4,m,n,0,567,2,5
7,7,Resp,7,8,7,7,0,0,4,2,2,1,MS,RS,13,1,v,m,0,754,2,5
8,8,Resp,7,9,8,8,0,0,4,3,2,1,ML,RS,9,1,v,n,0,869,2,5
9,9,Resp,7,10,9,9,0,0,4,3,3,3,MS,RC,14,3,n,n,1,1151,1,5
10,10,Resp,7,11,10,10,0,1,4,3,3,2,NL,BS,3,4,m,m,1,683,1,5
11,11,Resp,7,12,11,11,0,1,4,3,4,3,MS,RC,14,3,n,v,0,1005,2,5
12,12,Resp,7,13,12,12,0,2,4,3,4,2,NL,BS,3,4,m,b,0,547,2,5
13,13,Resp,7,14,13,13,0,2,4,3,5,4,MS,BC,16,2,b,b,1,990,1,5
14,14,Resp,7,15,14,14,0,2,4,3,6,1,MS,RS,13,1,v,m,0,979,2,5
15,15,Resp,7,16,15,15,0,2,4,4,6,4,ML,BC,12,2,b,b,1,662,1,5
16,16,Resp,7,17,16,16,0,2,5,4,6,1,NS,RS,5,1,v,v,1,498,1,5
17,17,Resp,7,18,17,17,0,3,5,4,6,1,NL,RS,1,1,v,n,0,642,2,5
18,18,Resp,7,19,18,18,0,3,5,4,7,3,MS,RC,14,3,n,m,0,1104,2,5
19,19,Resp,7,20,19,19,0,4,5,4,7,3,NL,RC,2,3,n,n,1,645,1,5
20,20,Resp,7,21,20,20,0,5,5,4,7,1,NL,RS,1,1,v,v,1,710,1,5
21,21,Resp,7,22,21,21,0,5,6,4,7,3,NS,RC,6,3,n,n,1,679,1,5
22,22,Resp,7,23,22,22,0,6,6,4,7,1,NL,RS,1,1,v,v,1,712,1,5
23,23,Resp,7,24,23,23,0,6,6,4,8,2,MS,BS,15,4,m,m,1,956,1,5
24,24,Resp,7,25,24,24,0,7,6,4,8,2,NL,BS,3,4,m,m,1,505,1,5
25,25,Resp,7,26,25,25,0,7,6,5,8,4,ML,BC,12,2,b,b,1,727,1,5
26,26,Resp,7,27,26,26,0,7,7,5,8,3,NS,RC,6,3,n,n,1,809,1,5
27,27,Resp,7,28,27,27,0,7,7,6,8,2,ML,BS,11,4,m,m,1,794,1,5
28,28,Resp,7,29,28,28,0,7,7,6,9,3,MS,RC,14,3,n,n,1,989,1,5
29,29,Resp,7,30,29,29,0,8,7,6,9,3,NL,RC,2,3,n,n,1,628,1,5
30,30,Resp,7,31,30,30,0,8,8,6,9,1,NS,RS,5,1,v,v,1,479,1,5
31,31,Resp,7,32,31,31,0,8,8,7,9,4,ML,BC,12,2,b,b,1,711,1,5
32,32,Resp,7,33,32,32,0,8,8,8,9,4,ML,BC,12,2,b,b,1,870,1,5
33,33,Resp,7,34,33,33,0,9,8,8,9,4,NL,BC,4,2,b,b,1,494,1,5
34,34,Resp,7,35,34,34,0,9,8,9,9,1,ML,RS,9,1,v,v,1,1089,1,5
35,35,Resp,7,36,35,35,0,9,9,9,9,3,NS,RC,6,3,n,n,1,694,1,5
36,36,Resp,7,37,36,36,0,9,9,10,9,3,ML,RC,10,3,n,n,1,609,1,5
37,37,Resp,7,38,37,37,0,9,10,10,9,2,NS,BS,7,4,m,m,1,717,1,5
38,38,Resp,7,39,38,38,0,9,11,10,9,2,NS,BS,7,4,m,m,1,518,1,5
39,39,Resp,7,40,39,39,0,9,12,10,9,1,NS,RS,5,1,v,v,1,671,1,5
40,40,Resp,7,41,40,40,0,9,13,10,9,1,NS,RS,5,1,v,v,1,441,1,5
41,41,Resp,7,42,41,41,0,9,14,10,9,4,NS,BC,8,2,b,b,1,545,1,5
42,42,Resp,7,43,42,42,0,10,14,10,9,2,NL,BS,3,4,m,m,1,909,1,5
43,43,Resp,7,44,43,43,0,10,14,10,10,2,MS,BS,15,4,m,m,1,440,1,5
44,44,Resp,7,45,44,44,0,11,14,10,10,1,NL,RS,1,1,v,v,1,1124,1,5
45,45,Resp,7,46,45,45,0,11,14,10,11,4,MS,BC,16,2,b,n,0,804,2,5
46,46,Resp,7,47,46,46,0,11,14,10,12,1,MS,RS,13,1,v,v,1,724,1,5
47,47,Resp,7,48,47,47,0,11,14,11,12,3,ML,RC,10,3,n,n,1,873,1,5
48,48,Resp,7,49,48,48,0,11,15,11,12,1,NS,RS,5,1,v,v,1,703,1,5
49,49,Resp,7,50,49,49,0,12,15,11,12,1,NL,RS,1,1,v,v,1,814,1,5
50,50,Resp,7,51,50,50,0,12,16,11,12,1,NS,RS,5,1,v,v,1,871,1,5
51,51,Resp,7,52,51,51,0,13,16,11,12,1,NL,RS,1,1,v,v,1,690,1,5
52,52,Resp,7,53,52,52,0,13,17,11,12,2,NS,BS,7,4,m,m,1,858,1,5
53,53,Resp,7,54,53,53,0,13,17,12,12,3,ML,RC,10,3,n,n,1,1022,1,5
54,54,Resp,7,55,54,54,0,13,18,12,12,4,NS,BC,8,2,b,b,1,554,1,5
55,55,Resp,7,56,55,55,0,13,18,12,13,3,MS,RC,14,3,n,n,1,723,1,5
56,56,Resp,7,57,56,56,0,14,18,12,13,1,NL,RS,1,1,v,v,1,444,1,5
57,57,Resp,7,58,57,57,0,15,18,12,13,4,NL,BC,4,2,b,b,1,642,1,5
58,58,Resp,7,59,58,58,0,15,18,12,14,3,MS,RC,14,3,n,n,1,597,1,5
59,59,Resp,7,60,59,59,0,15,19,12,14,2,NS,BS,7,4,m,m,1,757,1,5
60,60,Resp,7,61,60,60,0,15,19,13,14,2,ML,BS,11,4,m,m,1,405,1,5
61,61,Resp,7,62,61,61,0,15,20,13,14,2,NS,BS,7,4,m,m,1,402,1,5
62,62,Resp,7,63,62,62,0,15,20,14,14,1,ML,RS,9,1,v,v,1,541,1,5
63,63,Resp,7,64,63,63,0,15,20,15,14,1,ML,RS,9,1,v,v,1,499,1,5
64,64,Resp,7,65,64,64,0,15,20,16,14,2,ML,BS,11,4,m,n,0,753,2,5
65,65,Resp,7,66,65,65,0,15,20,16,15,3,MS,RC,14,3,n,n,1,921,1,5
66,66,Resp,7,67,66,66,0,16,20,16,15,4,NL,BC,4,2,b,b,1,398,1,5
67,67,Resp,7,68,67,67,0,16,20,17,15,1,ML,RS,9,1,v,v,1,773,1,5
68,68,Resp,7,69,68,68,0,17,20,17,15,2,NL,BS,3,4,m,n,0,929,2,5
69,69,Resp,7,70,69,69,0,17,21,17,15,4,NS,BC,8,2,b,b,1,631,1,5
70,70,Resp,7,71,70,70,0,18,21,17,15,4,NL,BC,4,2,b,b,1,814,1,5
71,71,Resp,7,72,71,71,0,19,21,17,15,3,NL,RC,2,3,n,n,1,608,1,5
72,72,Resp,7,73,72,72,0,19,21,17,16,4,MS,BC,16,2,b,b,1,655,1,5
73,73,Resp,7,74,73,73,0,19,21,18,16,4,ML,BC,12,2,b,b,1,416,1,5
74,74,Resp,7,75,74,74,0,19,22,18,16,4,NS,BC,8,2,b,b,1,365,1,5
75,75,Resp,7,76,75,75,0,19,23,18,16,4,NS,BC,8,2,b,b,1,473,1,5
76,76,Resp,7,77,76,76,0,20,23,18,16,4,NL,BC,4,2,b,b,1,435,1,5
77,77,Resp,7,78,77,77,0,21,23,18,16,2,NL,BS,3,4,m,m,1,946,1,5
78,78,Resp,7,79,78,78,0,21,23,19,16,3,ML,RC,10,3,n,n,1,699,1,5
79,79,Resp,7,80,79,79,0,21,23,20,16,3,ML,RC,10,3,n,n,1,722,1,5
80,80,Resp,7,81,80,80,0,21,23,20,17,2,MS,BS,15,4,m,m,1,664,1,5
81,81,Resp,7,82,81,81,0,22,23,20,17,3,NL,RC,2,3,n,n,1,742,1,5
82,82,Resp,7,83,82,82,0,23,23,20,17,3,NL,RC,2,3,n,n,1,669,1,5
83,83,Resp,7,84,83,83,0,23,23,20,18,4,MS,BC,16,2,b,b,1,703,1,5
84,84,Resp,7,85,84,84,0,24,23,20,18,4,NL,BC,4,2,b,b,1,595,1,5
85,85,Resp,7,86,85,85,0,25,23,20,18,3,NL,RC,2,3,n,n,1,1034,1,5
86,86,Resp,7,87,86,86,0,25,24,20,18,2,NS,BS,7,4,m,m,1,1105,1,5
87,87,Resp,7,88,87,87,0,25,24,21,18,2,ML,BS,11,4,m,m,1,451,1,5
88,88,Resp,7,89,88,88,0,25,25,21,18,3,NS,RC,6,3,n,n,1,718,1,5
89,89,Resp,7,90,89,89,0,25,26,21,18,4,NS,BC,8,2,b,b,1,669,1,5
90,90,Resp,7,91,90,90,0,25,26,21,19,1,MS,RS,13,1,v,v,1,386,1,5
91,91,Resp,7,92,91,91,0,25,26,21,20,4,MS,BC,16,2,b,b,1,750,1,5
92,92,Resp,7,93,92,92,0,25,27,21,20,3,NS,RC,6,3,n,n,1,599,1,5
93,93,Resp,7,94,93,93,0,25,28,21,20,3,NS,RC,6,3,n,n,1,515,1,5
94,94,Resp,7,95,94,94,0,25,28,21,21,2,MS,BS,15,4,m,m,1,808,1,5
95,95,Resp,7,96,95,95,0,26,28,21,21,2,NL,BS,3,4,m,m,1,479,1,5
96,96,Resp,7,97,96,96,0,26,28,21,22,3,MS,RC,14,3,n,n,1,829,1,5
97,97,Resp,7,98,97,97,0,26,28,22,22,2,ML,BS,11,4,m,m,1,819,1,5
98,98,Resp,7,99,98,98,0,27,28,22,22,4,NL,BC,4,2,b,b,1,785,1,5
99,99,Resp,7,100,99,99,0,27,28,23,22,3,ML,RC,10,3,n,n,1,638,1,5
100,100,Resp,7,101,100,100,0,27,28,23,23,2,MS,BS,15,4,m,m,1,788,1,5
101,101,Resp,7,102,101,101,0,28,28,23,23,3,NL,RC,2,3,n,n,1,810,1,5
102,102,Resp,7,103,102,102,0,28,28,23,24,1,MS,RS,13,1,v,m,0,782,2,5
103,103,Resp,7,104,103,103,0,28,29,23,24,1,NS,RS,5,1,v,v,1,513,1,5
104,104,Resp,7,105,104,104,0,28,29,24,24,2,ML,BS,11,4,m,m,1,547,1,5
105,105,Resp,7,106,105,105,0,29,29,24,24,4,NL,BC,4,2,b,b,1,741,1,5
106,106,Resp,7,107,106,106,0,29,29,24,25,2,MS,BS,15,4,m,v,0,945,2,5
107,107,Resp,7,108,107,107,0,29,29,25,25,2,ML,BS,11,4,m,m,1,627,1,5
108,108,Resp,7,109,108,108,0,29,29,25,26,1,MS,RS,13,1,v,v,1,704,1,5
109,109,RespITI,7,110,109,109,0,29,30,25,26,4,NS,BC,8,2,b,0,0,704,3,5
110,110,Resp,7,111,110,110,0,29,31,25,26,1,NS,RS,5,1,v,v,1,870,1,5
111,111,Resp,7,112,111,111,0,29,31,25,27,4,MS,BC,16,2,b,b,1,823,1,5
112,112,Resp,7,113,112,112,0,30,31,25,27,1,NL,RS,1,1,v,v,1,608,1,5
113,113,Resp,7,114,113,113,0,30,31,25,28,2,MS,BS,15,4,m,m,1,653,1,5
114,114,Resp,7,115,114,114,0,30,31,25,29,1,MS,RS,13,1,v,v,1,520,1,5
115,115,Resp,7,116,115,115,0,30,31,25,30,4,MS,BC,16,2,b,b,1,909,1,5
116,116,Resp,7,117,116,116,0,30,32,25,30,2,NS,BS,7,4,m,m,1,717,1,5
117,117,Resp,7,118,117,117,0,31,32,25,30,3,NL,RC,2,3,n,n,1,660,1,5
118,118,Resp,7,119,118,118,0,31,32,26,30,1,ML,RS,9,1,v,v,1,604,1,5
119,119,Resp,7,120,119,119,0,31,32,27,30,3,ML,RC,10,3,n,n,1,993,1,5
120,120,Resp,7,121,120,120,0,31,32,28,30,1,ML,RS,9,1,v,v,1,818,1,5
121,121,Resp,7,122,121,121,0,31,32,29,30,3,ML,RC,10,3,n,n,1,612,1,5
122,122,Resp,7,123,122,122,0,32,32,29,30,2,NL,BS,3,4,m,m,1,862,1,5
123,123,Resp,7,124,123,123,0,32,32,29,31,2,MS,BS,15,4,m,m,1,465,1,5
124,124,Resp,7,125,124,124,0,32,32,30,31,2,ML,BS,11,4,m,m,1,511,1,5
125,125,Resp,7,126,125,125,0,32,32,30,32,4,MS,BC,16,2,b,b,1,598,1,5
126,126,Resp,7,127,126,126,0,32,32,31,32,4,ML,BC,12,2,b,b,1,622,1,5
127,127,Resp,7,128,127,127,0,32,32,32,32,1,ML,RS,9,1,v,v,1,838,1,5
0,0,Resp,3,1,0,0,0,0,1,0,0,1,NS,RS,5,1,v,v,1,646,1,8
1,1,Resp,3,2,1,1,0,1,1,0,0,4,NL,BC,4,2,b,n,0,823,2,8
2,2,Resp,3,3,2,2,0,1,1,1,0,2,ML,BS,11,4,m,n,0,1092,2,8
3,3,Resp,3,4,3,3,0,2,1,1,0,1,NL,RS,1,1,v,v,1,670,1,8
4,4,Resp,3,5,4,4,0,2,1,2,0,3,ML,RC,10,3,n,n,1,830,1,8
5,5,Resp,3,6,5,5,0,2,2,2,0,3,NS,RC,6,3,n,n,1,936,1,8
6,6,Resp,3,7,6,6,0,2,2,2,1,1,MS,RS,13,1,v,v,1,684,1,8
7,7,Resp,3,8,7,7,0,2,3,2,1,1,NS,RS,5,1,v,v,1,634,1,8
8,8,Resp,3,9,8,8,0,2,4,2,1,4,NS,BC,8,2,b,m,0,612,2,8
9,9,Resp,3,10,9,9,0,2,4,3,1,3,ML,RC,10,3,n,n,1,842,1,8
10,10,Resp,3,11,10,10,0,2,4,4,1,4,ML,BC,12,2,b,b,1,995,1,8
11,11,RespITI,3,12,11,11,0,2,5,4,1,2,NS,BS,7,4,m,0,0,995,3,8
12,12,Resp,3,13,12,12,0,2,5,4,2,3,MS,RC,14,3,n,n,1,927,1,8
13,13,Resp,3,14,13,13,0,2,5,5,2,1,ML,RS,9,1,v,v,1,634,1,8
14,14,Resp,3,15,14,14,0,2,6,5,2,1,NS,RS,5,1,v,v,1,543,1,8
15,15,Resp,3,16,15,15,0,2,7,5,2,1,NS,RS,5,1,v,v,1,534,1,8
16,16,Resp,3,17,16,16,0,2,7,5,3,4,MS,BC,16,2,b,n,0,648,2,8
17,17,Resp,3,18,17,17,0,2,8,5,3,2,NS,BS,7,4,m,m,1,899,1,8
18,18,Resp,3,19,18,18,0,3,8,5,3,1,NL,RS,1,1,v,v,1,698,1,8
19,19,Resp,3,20,19,19,0,3,8,6,3,2,ML,BS,11,4,m,m,1,600,1,8
